idx,image_key,question,question_type,split,reference_image,logit_Ref,logit_Know,logit_Reason,logit_Decide,p_Ref,p_Know,p_Reason,p_Decide,margin_Ref,margin_Know,margin_Reason,margin_Decide,y_Ref,y_Know,y_Reason,y_Decide,vector,active_experts,prior_vector,match_prior
17,DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. Where is the defect?,Defect Localization,train,073.png,13.866796,-5.857049,-13.106795,2.894873,0.999999,0.002852,0.000002,0.947592,+0.824999,-0.172148,-0.174998,+0.772592,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
18,DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,eval,073.png,5.242047,17.018209,5.534437,3.733915,0.994738,1.000000,0.996067,0.976659,+0.819738,+0.825000,+0.821067,+0.801659,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
19,DS-MVTec/bottle/image/broken_large/004.png,There is a defect in the object. What is the effect of the defect on the bottle's mouth?,Defect Analysis,eval,073.png,-6.670453,21.052612,13.462089,3.134711,0.001266,1.000000,0.999999,0.958302,-0.173734,+0.825000,+0.824999,+0.783302,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
20,DS-MVTec/bottle/image/broken_large/005.png,Is there any defect in the object?,Anomaly Detection,train,125.png,15.041416,-7.451388,-15.002260,3.120792,1.000000,0.000580,0.000000,0.957742,+0.825000,-0.174420,-0.175000,+0.782742,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
21,DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,125.png,12.177290,5.758726,-5.446172,3.761482,0.999995,0.996855,0.004294,0.977279,+0.824995,+0.821855,-0.170706,+0.802279,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
22,DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. Where is the defect?,Defect Localization,train,125.png,12.924700,-5.770751,-12.571691,2.782150,0.999998,0.003108,0.000003,0.941704,+0.824998,-0.171892,-0.174997,+0.766704,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
23,DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,eval,125.png,4.281769,17.096397,6.078023,3.623957,0.986370,1.000000,0.997712,0.974016,+0.811370,+0.825000,+0.822712,+0.799016,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
24,DS-MVTec/bottle/image/broken_large/005.png,There is a defect in the object. What is the effect of the defect?,Defect Analysis,train,125.png,-4.724212,18.478413,11.233976,2.757687,0.008800,1.000000,0.999987,0.940346,-0.166200,+0.825000,+0.824987,+0.765346,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
25,DS-MVTec/bottle/image/broken_large/006.png,Is there any defect in the object?,Anomaly Detection,train,125.png,16.232086,-7.560584,-15.669772,3.269108,1.000000,0.000520,0.000000,0.963354,+0.825000,-0.174480,-0.175000,+0.788354,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
26,DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,125.png,13.472002,5.792513,-6.096517,3.920124,0.999999,0.996959,0.002246,0.980547,+0.824999,+0.821959,-0.172754,+0.805547,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
27,DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,125.png,5.570382,17.137146,5.438136,3.781493,0.996205,1.000000,0.995671,0.977719,+0.821205,+0.825000,+0.820671,+0.802719,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
28,DS-MVTec/bottle/image/broken_large/006.png,There is a defect in the object. What is the effect of the defect?,Defect Analysis,eval,125.png,-3.606347,18.643005,10.789138,2.890406,0.026433,1.000000,0.999979,0.947370,-0.148567,+0.825000,+0.824979,+0.772370,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
29,DS-MVTec/bottle/image/broken_large/007.png,Is there any defect in the object?,Anomaly Detection,eval,091.png,14.688522,-7.539534,-14.928319,3.096722,1.000000,0.000531,0.000000,0.956757,+0.825000,-0.174469,-0.175000,+0.781757,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
30,DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,091.png,11.831291,5.091166,-5.679570,3.671090,0.999993,0.993887,0.003403,0.975183,+0.824993,+0.818887,-0.171597,+0.800183,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
31,DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. Where is the defect?,Defect Localization,train,091.png,12.565475,-6.229955,-12.678626,2.713814,0.999997,0.001966,0.000003,0.937837,+0.824997,-0.173034,-0.174997,+0.762837,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
32,DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,091.png,3.930246,16.442451,5.859725,3.532744,0.980739,1.000000,0.997156,0.971605,+0.805739,+0.825000,+0.822156,+0.796605,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
33,DS-MVTec/bottle/image/broken_large/007.png,There is a defect in the object. How does the defect manifest on the bottle?,Defect Analysis,train,091.png,-5.340698,14.653262,9.611844,2.311005,0.004770,1.000000,0.999933,0.909784,-0.170230,+0.825000,+0.824933,+0.734784,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
34,DS-MVTec/bottle/image/broken_large/008.png,Is there any defect in the object?,Anomaly Detection,train,125.png,15.494291,-7.560869,-15.315835,3.187095,1.000000,0.000520,0.000000,0.960346,+0.825000,-0.174480,-0.175000,+0.785346,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
35,DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What is the type of the defect?,Defect Classification,eval,125.png,12.591972,5.825556,-5.619523,3.830797,0.999997,0.997058,0.003613,0.978768,+0.824997,+0.822058,-0.171387,+0.803768,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
36,DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. Where is the defect?,Defect Localization,train,125.png,13.345326,-5.725277,-12.761342,2.850326,0.999998,0.003252,0.000003,0.945336,+0.824998,-0.171748,-0.174997,+0.770336,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
37,DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,eval,125.png,4.682789,17.181177,5.926847,3.691750,0.990832,1.000000,0.997340,0.975678,+0.815832,+0.825000,+0.822340,+0.800678,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
38,DS-MVTec/bottle/image/broken_large/008.png,There is a defect in the object. What distinguishes the damaged area from the rest of the bottle's edge?,Defect Analysis,train,125.png,-6.483382,19.879372,12.796360,2.983958,0.001526,1.000000,0.999997,0.951844,-0.173474,+0.825000,+0.824997,+0.776844,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
39,DS-MVTec/bottle/image/broken_large/009.png,Is there any defect in the object?,Anomaly Detection,train,073.png,14.727481,-7.434130,-14.837782,3.083615,1.000000,0.000590,0.000000,0.956212,+0.825000,-0.174410,-0.175000,+0.781212,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
40,DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,073.png,11.770363,5.749594,-5.242358,3.714831,0.999992,0.996826,0.005260,0.976220,+0.824992,+0.821826,-0.169740,+0.801220,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
41,DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,073.png,3.886559,17.074474,6.265033,3.578732,0.979897,1.000000,0.998102,0.972847,+0.804897,+0.825000,+0.823102,+0.797847,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
42,DS-MVTec/bottle/image/broken_large/009.png,There is a defect in the object. How does the defect compare to the normal sample?,Defect Analysis,train,073.png,-5.954432,20.918121,13.057739,3.062707,0.002588,1.000000,0.999998,0.955328,-0.172412,+0.825000,+0.824998,+0.780328,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
43,DS-MVTec/bottle/image/broken_large/010.png,Is there any defect in the object?,Anomaly Detection,train,073.png,15.496634,-7.538196,-15.313709,3.186995,1.000000,0.000532,0.000000,0.960342,+0.825000,-0.174468,-0.175000,+0.785342,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
44,DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,073.png,12.502770,6.059037,-5.474049,3.850477,0.999996,0.997669,0.004177,0.979173,+0.824996,+0.822669,-0.170823,+0.804173,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
45,DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. Where is the defect?,Defect Localization,train,073.png,13.272038,-5.519569,-12.639510,2.868188,0.999998,0.003992,0.000003,0.946251,+0.824998,-0.171008,-0.174997,+0.771251,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
46,DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,073.png,4.606557,17.403425,6.056136,3.712889,0.990113,1.000000,0.997662,0.976175,+0.815113,+0.825000,+0.822662,+0.801175,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
47,DS-MVTec/bottle/image/broken_large/010.png,There is a defect in the object. What can be inferred about the defect's effect on the bottle?,Defect Analysis,train,073.png,-7.180675,22.200901,14.256587,3.310793,0.000761,1.000000,0.999999,0.964797,-0.174239,+0.825000,+0.824999,+0.789797,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
48,DS-MVTec/bottle/image/broken_large/011.png,Is there any defect in the object?,Anomaly Detection,train,191.png,14.571582,-7.486063,-14.816016,3.074521,1.000000,0.000561,0.000000,0.955830,+0.825000,-0.174439,-0.175000,+0.780829,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
49,DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,191.png,11.727680,5.143972,-5.579876,3.653684,0.999992,0.994199,0.003759,0.974758,+0.824992,+0.819199,-0.171241,+0.799758,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
50,DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. Where is the defect?,Defect Localization,train,191.png,12.451572,-6.160790,-12.563350,2.695897,0.999996,0.002106,0.000003,0.936784,+0.824996,-0.172894,-0.174996,+0.761784,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
51,DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,eval,191.png,3.826637,16.490990,5.956647,3.515135,0.978682,1.000000,0.997418,0.971115,+0.803682,+0.825000,+0.822418,+0.796115,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
52,DS-MVTec/bottle/image/broken_large/011.png,There is a defect in the object. What is the likely cause of the defect?,Defect Analysis,eval,191.png,-1.862275,13.389345,6.995916,2.539668,0.134438,0.999998,0.999085,0.926876,-0.040562,+0.824998,+0.824085,+0.751876,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
53,DS-MVTec/bottle/image/broken_large/012.png,Is there any defect in the object?,Anomaly Detection,eval,125.png,15.201391,-7.431169,-15.056481,3.135219,1.000000,0.000592,0.000000,0.958322,+0.825000,-0.174408,-0.175000,+0.783322,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
54,DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. What is the type of the defect?,Defect Classification,eval,125.png,12.292278,5.965879,-5.376175,3.792220,0.999995,0.997442,0.004604,0.977952,+0.824995,+0.822442,-0.170396,+0.802952,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
55,DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. Where is the defect?,Defect Localization,train,125.png,13.042912,-5.576324,-12.511844,2.811544,0.999998,0.003772,0.000004,0.943296,+0.824998,-0.171228,-0.174996,+0.768296,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
56,DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,125.png,4.422100,17.268909,6.106756,3.657365,0.988133,1.000000,0.997777,0.974849,+0.813133,+0.825000,+0.822777,+0.799849,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
57,DS-MVTec/bottle/image/broken_large/012.png,There is a defect in the object. How does the defect affect the object?,Defect Analysis,train,125.png,-3.307728,13.998409,8.166946,2.392048,0.035307,0.999999,0.999716,0.916219,-0.139693,+0.824999,+0.824716,+0.741219,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
58,DS-MVTec/bottle/image/broken_large/013.png,Is there any defect in the object?,Anomaly Detection,train,125.png,16.193121,-7.636930,-15.731080,3.277463,1.000000,0.000482,0.000000,0.963647,+0.825000,-0.174518,-0.175000,+0.788647,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
59,DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What is the type of the defect?,Defect Classification,eval,125.png,13.439111,5.575660,-6.229576,3.909005,0.999999,0.996225,0.001966,0.980334,+0.824999,+0.821225,-0.173034,+0.805334,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
60,DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,eval,125.png,5.533573,16.928009,5.312812,3.770137,0.996064,1.000000,0.995096,0.977470,+0.821064,+0.825000,+0.820096,+0.802470,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
61,DS-MVTec/bottle/image/broken_large/013.png,There is a defect in the object. What impact does the defect have on the object?,Defect Analysis,train,125.png,-5.363708,17.946531,11.269670,2.675083,0.004662,1.000000,0.999987,0.935540,-0.170338,+0.825000,+0.824987,+0.760540,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
62,DS-MVTec/bottle/image/broken_large/014.png,Is there any defect in the object?,Anomaly Detection,eval,125.png,15.452623,-7.521901,-15.261636,3.176600,1.000000,0.000541,0.000000,0.959944,+0.825000,-0.174459,-0.175000,+0.784944,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
63,DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,125.png,12.716925,5.508727,-5.869933,3.803678,0.999997,0.995965,0.002815,0.978197,+0.824997,+0.820965,-0.172185,+0.803197,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
64,DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. Where is the defect?,Defect Localization,eval,125.png,13.422396,-5.946069,-12.925694,2.829829,0.999999,0.002609,0.000002,0.944267,+0.824999,-0.172391,-0.174998,+0.769267,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
65,DS-MVTec/bottle/image/broken_large/014.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,125.png,4.828561,16.833336,5.643229,3.666011,0.992065,1.000000,0.996471,0.975060,+0.817065,+0.825000,+0.821471,+0.800060,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
66,DS-MVTec/bottle/image/broken_large/015.png,Is there any defect in the object?,Anomaly Detection,eval,125.png,15.123566,-7.416483,-14.992871,3.121897,1.000000,0.000601,0.000000,0.957787,+0.825000,-0.174399,-0.175000,+0.782787,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
67,DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,125.png,12.248181,5.938555,-5.339603,3.774204,0.999995,0.997371,0.004775,0.977560,+0.824995,+0.822371,-0.170225,+0.802560,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
68,DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. Where is the defect?,Defect Localization,train,125.png,12.999461,-5.605687,-12.478068,2.793606,0.999998,0.003663,0.000004,0.942329,+0.824998,-0.171337,-0.174996,+0.767329,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
69,DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,125.png,4.371291,17.247879,6.148772,3.639570,0.987523,1.000000,0.997868,0.974409,+0.812523,+0.825000,+0.822868,+0.799408,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
70,DS-MVTec/bottle/image/broken_large/015.png,There is a defect in the object. How does the defect affect the bottle's appearance?,Defect Analysis,eval,125.png,-6.354068,19.093380,12.330882,2.884386,0.001737,1.000000,0.999996,0.947069,-0.173263,+0.825000,+0.824996,+0.772069,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
71,DS-MVTec/bottle/image/broken_large/016.png,Is there any defect in the object?,Anomaly Detection,train,073.png,15.432453,-7.488192,-15.219813,3.169860,1.000000,0.000559,0.000000,0.959684,+0.825000,-0.174441,-0.175000,+0.784684,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
72,DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. What is the type of the defect?,Defect Classification,eval,073.png,12.467777,6.095853,-5.396239,3.836772,0.999996,0.997753,0.004513,0.978892,+0.824996,+0.822753,-0.170487,+0.803892,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
73,DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. Where is the defect?,Defect Localization,eval,073.png,13.236504,-5.480879,-12.562238,2.854498,0.999998,0.004148,0.000004,0.945551,+0.824998,-0.170852,-0.174996,+0.770551,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
74,DS-MVTec/bottle/image/broken_large/016.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,073.png,4.570086,17.435341,6.128193,3.699728,0.989749,1.000000,0.997824,0.975867,+0.814749,+0.825000,+0.822824,+0.800867,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
75,DS-MVTec/bottle/image/broken_large/017.png,Is there any defect in the object?,Anomaly Detection,train,125.png,15.523161,-7.498210,-15.279139,3.182419,1.000000,0.000554,0.000000,0.960167,+0.825000,-0.174446,-0.175000,+0.785167,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
76,DS-MVTec/bottle/image/broken_large/017.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,125.png,12.626940,5.943790,-5.584152,3.842234,0.999997,0.997385,0.003743,0.979005,+0.824997,+0.822385,-0.171257,+0.804005,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
77,DS-MVTec/bottle/image/broken_large/017.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,125.png,4.738773,17.267387,5.926401,3.704929,0.991327,1.000000,0.997339,0.975989,+0.816326,+0.825000,+0.822339,+0.800989,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
78,DS-MVTec/bottle/image/broken_large/018.png,Is there any defect in the object?,Anomaly Detection,train,073.png,15.640297,-7.556291,-15.393276,3.204499,1.000000,0.000523,0.000000,0.961003,+0.825000,-0.174477,-0.175000,+0.786003,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
79,DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,073.png,12.733075,5.886564,-5.680168,3.856178,0.999997,0.997231,0.003401,0.979289,+0.824997,+0.822231,-0.171599,+0.804289,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
80,DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the appearance of the defect?,Defect Description,train,073.png,4.838607,17.227425,5.847398,3.718420,0.992144,1.000000,0.997121,0.976303,+0.817144,+0.825000,+0.822121,+0.801303,1,1,1,1,1111,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,1111,1
81,DS-MVTec/bottle/image/broken_large/018.png,There is a defect in the object. What is the effect of the defect?,Defect Analysis,train,073.png,-4.285720,18.697262,11.136346,2.835220,0.013577,1.000000,0.999985,0.944550,-0.161423,+0.825000,+0.824985,+0.769550,0,1,1,1,0111,Knowledge Guide|Reasoning Expert|Decision Maker,0111,1
82,DS-MVTec/bottle/image/broken_large/019.png,Is there any defect in the object?,Anomaly Detection,train,125.png,15.601200,-7.509634,-15.322207,3.191115,1.000000,0.000547,0.000000,0.960499,+0.825000,-0.174453,-0.175000,+0.785498,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
83,DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. What is the type of the defect?,Defect Classification,train,125.png,12.764824,5.770999,-5.741355,3.832013,0.999997,0.996893,0.003200,0.978794,+0.824997,+0.821893,-0.171800,+0.803793,1,1,0,1,1101,Reference Extractor|Knowledge Guide|Decision Maker,1101,1
84,DS-MVTec/bottle/image/broken_large/019.png,There is a defect in the object. Where is the defect?,Defect Localization,train,125.png,13.505247,-5.769238,-12.864818,2.852895,0.999999,0.003112,0.000003,0.945468,+0.824999,-0.171888,-0.174997,+0.770468,1,0,0,1,1001,Reference Extractor|Decision Maker,1001,1
