idx,image_key,question_type,question,vector,p_Ref,p_Know,p_Reason,p_Decide,y_Ref,y_Know,y_Reason,y_Decide,active_experts,n_images
108,DS-MVTec/bottle/image/broken_small/004.png,Defect Analysis,There is a defect in the object. What effect does the defect have?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
109,DS-MVTec/bottle/image/broken_small/005.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
110,DS-MVTec/bottle/image/broken_small/005.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
111,DS-MVTec/bottle/image/broken_small/005.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
112,DS-MVTec/bottle/image/broken_small/005.png,Defect Analysis,There is a defect in the object. What effect does the defect have on the bottle's opening?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
113,DS-MVTec/bottle/image/broken_small/006.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
114,DS-MVTec/bottle/image/broken_small/006.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
115,DS-MVTec/bottle/image/broken_small/006.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
116,DS-MVTec/bottle/image/broken_small/006.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
117,DS-MVTec/bottle/image/broken_small/006.png,Defect Analysis,There is a defect in the object. How does the defect affect the appearance of the object?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
118,DS-MVTec/bottle/image/broken_small/007.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
119,DS-MVTec/bottle/image/broken_small/007.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
120,DS-MVTec/bottle/image/broken_small/007.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
121,DS-MVTec/bottle/image/broken_small/007.png,Defect Analysis,There is a defect in the object. How does the defect affect the object's appearance?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
122,DS-MVTec/bottle/image/broken_small/008.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
123,DS-MVTec/bottle/image/broken_small/008.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
124,DS-MVTec/bottle/image/broken_small/008.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
125,DS-MVTec/bottle/image/broken_small/008.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
126,DS-MVTec/bottle/image/broken_small/008.png,Defect Analysis,There is a defect in the object. How does the defect area compare to the rest of the rim?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
127,DS-MVTec/bottle/image/broken_small/009.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
128,DS-MVTec/bottle/image/broken_small/009.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
129,DS-MVTec/bottle/image/broken_small/009.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
130,DS-MVTec/bottle/image/broken_small/009.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
131,DS-MVTec/bottle/image/broken_small/009.png,Defect Analysis,There is a defect in the object. How does the defect affect the object?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
132,DS-MVTec/bottle/image/broken_small/010.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
133,DS-MVTec/bottle/image/broken_small/010.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
134,DS-MVTec/bottle/image/broken_small/010.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
135,DS-MVTec/bottle/image/broken_small/010.png,Defect Analysis,There is a defect in the object. How does the defect affect the object's appearance?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
136,DS-MVTec/bottle/image/broken_small/011.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
137,DS-MVTec/bottle/image/broken_small/011.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
138,DS-MVTec/bottle/image/broken_small/011.png,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle's appearance?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
139,DS-MVTec/bottle/image/broken_small/012.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
140,DS-MVTec/bottle/image/broken_small/012.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
141,DS-MVTec/bottle/image/broken_small/012.png,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
142,DS-MVTec/bottle/image/broken_small/013.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
143,DS-MVTec/bottle/image/broken_small/013.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
144,DS-MVTec/bottle/image/broken_small/013.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
145,DS-MVTec/bottle/image/broken_small/013.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
146,DS-MVTec/bottle/image/broken_small/014.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
147,DS-MVTec/bottle/image/broken_small/014.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
148,DS-MVTec/bottle/image/broken_small/014.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
149,DS-MVTec/bottle/image/broken_small/014.png,Defect Analysis,There is a defect in the object. How does the defect contrast with the surrounding area?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
150,DS-MVTec/bottle/image/broken_small/015.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
151,DS-MVTec/bottle/image/broken_small/015.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
152,DS-MVTec/bottle/image/broken_small/015.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
153,DS-MVTec/bottle/image/broken_small/015.png,Defect Analysis,There is a defect in the object. How does the defect affect the object?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
154,DS-MVTec/bottle/image/broken_small/016.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
155,DS-MVTec/bottle/image/broken_small/016.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
